ISIN,SYMBOL,EXDATE,SUBJECT
"INE989A01024","SANGHVIMOV","27-Sep-2024","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE177H01013","GPIL","04-Oct-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE095N01015","NBCC","07-Oct-2024","Bonus 1:2"
"INE211R01019","POWERMECH","08-Oct-2024","Bonus 1:1"
"INE324A01024","JINDALSAW","09-Oct-2024","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE688E01024","HERCULES","11-Oct-2024","Demerger"
"INE972X01014","VAISHALI","15-Oct-2024","Bonus 1:1"
"INE972X01014","VAISHALI","15-Oct-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE063E01046","POCL","16-Oct-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE545A01024","HEGAM","18-Oct-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE450E01011","SUKHJITS","25-Oct-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE089A01023","DRREDDY","28-Oct-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE002A01018","RELIANCE","28-Oct-2024","Bonus 1:1"
"INE039O01011","JASH","30-Oct-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE247401016","PREMIERPOL","05-Nov-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share"
"INE0FRK01012","MOTISONS","08-Nov-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE535D01029","ROTO","08-Nov-2024","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE02WG01016","WEL","12-Nov-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE391J01024","JTLIND","14-Nov-2024","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE908D01010","SHAKTIPUMP","25-Nov-2024","Bonus 5:1"
"INE07O001018","EASEMYTRIP","29-Nov-2024","Bonus 1:1"
"INE912T01018","RPEL","29-Nov-2024","Bonus 1:1"
"INE989C01020","DIACABS","03-Dec-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE075A01022","WIPRO","03-Dec-2024","Bonus 1:1"
"INE555Z01012","TARACHAND","05-Dec-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE939A01011","STAR","06-Dec-2024","Demerger"
"INE291W01011","GLOBAL","10-Dec-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share"
"INE715Y01015","SHRADHA","10-Dec-2024","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share"
"INE0GFE01018","EXXARO","13-Dec-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE785M01013","PCJEWELLER","16-Dec-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE01IU01018","SKYGOLD","16-Dec-2024","Bonus 9:1"
"INE802B01019","LINC","20-Dec-2024","Bonus 1:1"
"INE802B01019","LINC","20-Dec-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE626Z01011","HARDWYN","27-Dec-2024","Bonus 2:5"
"INE249Z01012","MAZDOCK","27-Dec-2024","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE584A01023","NMDC","27-Dec-2024","Bonus 2:1"
"INE213C01025","BANCOINDIA","30-Dec-2024","Bonus 1:1"
"INE335A01012","SURYAROSNI","01-Jan-2025","Bonus 1:1"
"INE276A01018","GARFIBRES","03-Jan-2025","Bonus 4:1"
"INE542W01017","KPIGREEN","03-Jan-2025","Bonus 1:2"
"INE154A01025","ITC","06-Jan-2025","Demerger"
"INE048B01027","JAGSNPHARM","08-Jan-2025","Face Value Split (Sub-Division) - From Rs 5/- Per Share To Rs 2/- Per Share"
"INE390H01012","KAMDHENU","08-Jan-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE721A01013","SHRIRAMFIN","10-Jan-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE091G01018","JAIBALAJI","17-Jan-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE602G01020","KITEX","17-Jan-2025","Bonus 2:1"
"INE725A01022","NAVA","20-Jan-2025","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE885E01034","MAZDA","28-Jan-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE203G01019","IGL","31-Jan-2025","Bonus 1:1"
"INE927D01010","JBMA","31-Jan-2025","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE602W01019","SENCO","31-Jan-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE0LXT01019","REDTAPE","04-Feb-2025","Bonus 3:1"
"INE0D6I01015","KSOLVES","06-Feb-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE976R01017","AGIIL","07-Feb-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE809A01024","RAMAPHO","07-Feb-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share"
"INE592B01016","TTL","12-Feb-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share"
"INE763I01026","TARIL","14-Feb-2025","Bonus 1:1"
"INE823A01017","KOTHARIPRO","18-Feb-2025","Bonus 1:1"
"INE247D01013","JINDWORLD","28-Feb-2025","Bonus 4:1"
"INE377E01016","COASTCORP","04-Mar-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
"INE0APB01016","MGEL","04-Mar-2025","Face Value Split (Sub-Division) - From Rs 2/- Per Share To Re 1/- Per Share"
"INE463V01026","ANANDRATHI","05-Mar-2025","Bonus 1:1"
"INE087A01019","KESORAMIND","10-Mar-2025","Demerger"
"INE04AK01010","SBC","10-Mar-2025","Bonus 1:2"
"INE485C01011","IOLCP","11-Mar-2025","Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share"
